Histogram 
 val 0	 hist 1
 val 1	 hist 0
 val 2	 hist 0
 val 3	 hist 0
 val 4	 hist 1
 val 5	 hist 1
 val 6	 hist 1
 val 7	 hist 1
 val 8	 hist 3
 val 9	 hist 1
 val 10	 hist 3
 val 11	 hist 4
 val 12	 hist 3
 val 13	 hist 4
 val 14	 hist 5
 val 15	 hist 1
 val 16	 hist 1
 val 17	 hist 2
 val 18	 hist 2
 val 19	 hist 6
 val 20	 hist 2
 val 21	 hist 2
 val 22	 hist 2
 val 23	 hist 5
 val 24	 hist 4
 val 25	 hist 2
 val 26	 hist 6
 val 27	 hist 9
 val 28	 hist 6
 val 29	 hist 4
 val 30	 hist 3
 val 31	 hist 6
 val 32	 hist 8
 val 33	 hist 12
 val 34	 hist 8
 val 35	 hist 6
 val 36	 hist 12
 val 37	 hist 9
 val 38	 hist 9
 val 39	 hist 17
 val 40	 hist 12
 val 41	 hist 12
 val 42	 hist 17
 val 43	 hist 29
 val 44	 hist 28
 val 45	 hist 32
 val 46	 hist 28
 val 47	 hist 31
 val 48	 hist 35
 val 49	 hist 42
 val 50	 hist 47
 val 51	 hist 66
 val 52	 hist 47
 val 53	 hist 63
 val 54	 hist 100
 val 55	 hist 112
 val 56	 hist 117
 val 57	 hist 144
 val 58	 hist 161
 val 59	 hist 179
 val 60	 hist 226
 val 61	 hist 209
 val 62	 hist 254
 val 63	 hist 242
 val 64	 hist 243
 val 65	 hist 235
 val 66	 hist 266
 val 67	 hist 266
 val 68	 hist 311
 val 69	 hist 306
 val 70	 hist 306
 val 71	 hist 328
 val 72	 hist 283
 val 73	 hist 312
 val 74	 hist 314
 val 75	 hist 300
 val 76	 hist 317
 val 77	 hist 317
 val 78	 hist 373
 val 79	 hist 371
 val 80	 hist 392
 val 81	 hist 352
 val 82	 hist 422
 val 83	 hist 377
 val 84	 hist 421
 val 85	 hist 472
 val 86	 hist 486
 val 87	 hist 514
 val 88	 hist 489
 val 89	 hist 519
 val 90	 hist 583
 val 91	 hist 597
 val 92	 hist 545
 val 93	 hist 554
 val 94	 hist 553
 val 95	 hist 528
 val 96	 hist 566
 val 97	 hist 565
 val 98	 hist 565
 val 99	 hist 576
 val 100	 hist 548
 val 101	 hist 564
 val 102	 hist 548
 val 103	 hist 578
 val 104	 hist 534
 val 105	 hist 560
 val 106	 hist 534
 val 107	 hist 608
 val 108	 hist 555
 val 109	 hist 495
 val 110	 hist 542
 val 111	 hist 501
 val 112	 hist 493
 val 113	 hist 475
 val 114	 hist 500
 val 115	 hist 492
 val 116	 hist 464
 val 117	 hist 476
 val 118	 hist 474
 val 119	 hist 440
 val 120	 hist 429
 val 121	 hist 432
 val 122	 hist 437
 val 123	 hist 409
 val 124	 hist 422
 val 125	 hist 470
 val 126	 hist 453
 val 127	 hist 564
 val 128	 hist 580
 val 129	 hist 818
 val 130	 hist 775
 val 131	 hist 960
 val 132	 hist 1386
 val 133	 hist 961
 val 134	 hist 1075
 val 135	 hist 1138
 val 136	 hist 1636
 val 137	 hist 2425
 val 138	 hist 2144
 val 139	 hist 2383
 val 140	 hist 2119
 val 141	 hist 2352
 val 142	 hist 2404
 val 143	 hist 2115
 val 144	 hist 1858
 val 145	 hist 1812
 val 146	 hist 1539
 val 147	 hist 1426
 val 148	 hist 1252
 val 149	 hist 1220
 val 150	 hist 1218
 val 151	 hist 1156
 val 152	 hist 1119
 val 153	 hist 1121
 val 154	 hist 1146
 val 155	 hist 1158
 val 156	 hist 1175
 val 157	 hist 1160
 val 158	 hist 1101
 val 159	 hist 1078
 val 160	 hist 1100
 val 161	 hist 1079
 val 162	 hist 1089
 val 163	 hist 1122
 val 164	 hist 1092
 val 165	 hist 1225
 val 166	 hist 1177
 val 167	 hist 1254
